Week_Starting,Campaign,Budget,Impressions,Clicks,Click_Through_Rate,Leads,New_Customers,Conversion_Rate,Revenue,Customer_Acquisition_Cost,Return_on_Ad_Spend,Cost_Per_Click
2023-07-02,Google Ads,5494,65928,2306,3.498,559,165,7.155,1826550,33.3,332.46,2.38
2023-07-02,Facebook Ads,18028,342532,15053,4.395,1857,336,2.232,3405024,53.65,188.87,1.2
2023-07-02,LinkedIn Ads,7287,102018,2277,2.232,523,141,6.192,1391106,51.68,190.9,3.2
2023-07-02,Email Campaign,4231,84620,4089,4.832,421,144,3.522,1216512,29.38,287.52,1.03
2023-07-02,Content Marketing,1662,19944,1062,5.325,140,26,2.448,92040,63.92,55.38,1.56
2023-07-02,SEO,4802,81634,2231,2.733,324,82,3.675,688390,58.56,143.35,2.15
2023-07-09,Google Ads,6488,103808,3869,3.727,555,151,3.903,530010,42.97,81.69,1.68
2023-07-09,Facebook Ads,5026,95494,2442,2.557,351,78,3.194,428142,64.44,85.19,2.06
2023-07-09,LinkedIn Ads,12118,133298,5097,3.824,1110,210,4.12,1234800,57.7,101.9,2.38
2023-07-09,Email Campaign,2511,25110,1018,4.054,192,30,2.947,222960,83.7,88.79,2.47
2023-07-09,Content Marketing,6702,134040,5938,4.43,745,121,2.038,917180,55.39,136.85,1.13
2023-07-09,SEO,2287,25157,1457,5.792,356,110,7.55,1319120,20.79,576.79,1.57
2023-07-16,Google Ads,9802,137228,4416,3.218,506,145,3.284,1645460,67.6,167.87,2.22
2023-07-16,Facebook Ads,9521,161857,6086,3.76,720,179,2.941,1346796,53.19,141.46,1.56
2023-07-16,LinkedIn Ads,19212,345816,7392,2.138,1747,352,4.762,1161248,54.58,60.44,2.6
2023-07-16,Email Campaign,4456,49016,2279,4.65,334,84,3.686,351876,53.05,78.97,1.96
2023-07-16,Content Marketing,5560,88960,3724,4.186,475,163,4.377,1036843,34.11,186.48,1.49
2023-07-16,SEO,3176,31760,1619,5.098,390,128,7.906,1197184,24.81,376.95,1.96
2023-07-23,Google Ads,7688,115320,5064,4.391,1206,202,3.989,1341078,38.06,174.44,1.52
2023-07-23,Facebook Ads,8694,95634,2662,2.784,284,61,2.292,729072,142.52,83.86,3.27
2023-07-23,LinkedIn Ads,10174,101740,3616,3.554,508,160,4.425,684800,63.59,67.31,2.81
2023-07-23,Email Campaign,5800,58000,1987,3.426,282,72,3.624,844704,80.56,145.64,2.92
2023-07-23,Content Marketing,6915,96810,2481,2.563,546,90,3.628,466920,76.83,67.52,2.79
2023-07-23,SEO,2589,51780,3079,5.946,664,125,4.06,639000,20.71,246.81,0.84
2023-07-30,Google Ads,10086,141204,2855,2.022,634,184,6.445,1445688,54.82,143.34,3.53
2023-07-30,Facebook Ads,16271,211523,10398,4.916,2242,369,3.549,3677085,44.09,225.99,1.56
2023-07-30,LinkedIn Ads,18130,235690,8093,3.434,949,306,3.781,3490848,59.25,192.55,2.24
2023-07-30,Email Campaign,2118,27534,1237,4.493,185,30,2.425,357000,70.6,168.56,1.71
2023-07-30,Content Marketing,4025,52325,1697,3.243,252,74,4.361,379028,54.39,94.17,2.37
2023-07-30,SEO,2722,48996,2229,4.549,519,126,5.653,912114,21.6,335.09,1.22
2023-08-06,Google Ads,12405,210885,5226,2.478,1081,326,6.238,2301560,38.05,185.53,2.37
2023-08-06,Facebook Ads,14226,284520,12078,4.245,2604,647,5.357,4058631,21.99,285.3,1.18
2023-08-06,LinkedIn Ads,14784,147840,6048,4.091,992,153,2.53,534429,96.63,36.15,2.44
2023-08-06,Email Campaign,7565,83215,2023,2.431,211,58,2.867,192966,130.43,25.51,3.74
2023-08-06,Content Marketing,5408,97344,3170,3.256,558,184,5.804,1427840,29.39,264.02,1.71
2023-08-06,SEO,1792,21504,644,2.995,104,31,4.814,99975,57.81,55.79,2.78
2023-08-13,Google Ads,11251,123761,3607,2.914,402,83,2.301,373832,135.55,33.23,3.12
2023-08-13,Facebook Ads,9033,117429,3105,2.644,743,231,7.44,2671053,39.1,295.7,2.91
2023-08-13,LinkedIn Ads,9050,99550,4513,4.533,1041,323,7.157,3542018,28.02,391.38,2.01
2023-08-13,Email Campaign,2154,38772,1064,2.744,248,63,5.921,748503,34.19,347.49,2.02
2023-08-13,Content Marketing,3812,72428,3787,5.229,887,189,4.991,2068794,20.17,542.71,1.01
2023-08-13,SEO,4367,43670,1065,2.439,142,33,3.099,388509,132.33,88.96,4.1
2023-08-20,Google Ads,8834,114842,6054,5.272,1387,209,3.452,1665103,42.27,188.49,1.46
2023-08-20,Facebook Ads,12294,221292,8946,4.043,1454,282,3.152,3199290,43.6,260.23,1.37
2023-08-20,LinkedIn Ads,9339,102729,2547,2.479,383,129,5.065,402480,72.4,43.1,3.67
2023-08-20,Email Campaign,6725,134500,4428,3.292,787,228,5.149,1365036,29.5,202.98,1.52
2023-08-20,Content Marketing,2750,41250,1424,3.452,349,119,8.357,1270682,23.11,462.07,1.93
2023-08-20,SEO,2767,27670,832,3.007,145,30,3.606,147480,92.23,53.3,3.33
2023-08-27,Google Ads,19011,304176,9549,3.139,1007,273,2.859,1512966,69.64,79.58,1.99
2023-08-27,Facebook Ads,17748,283968,11389,4.011,1226,252,2.213,1185408,70.43,66.79,1.56
2023-08-27,LinkedIn Ads,9412,112944,6362,5.633,864,154,2.421,1003618,61.12,106.63,1.48
2023-08-27,Email Campaign,3730,74600,2952,3.957,731,145,4.912,1460150,25.72,391.46,1.26
2023-08-27,Content Marketing,5070,101400,4754,4.688,1018,201,4.228,1392528,25.22,274.66,1.07
2023-08-27,SEO,1643,19716,968,4.91,150,41,4.236,401636,40.07,244.45,1.7
2023-09-03,Google Ads,8536,128040,5805,4.534,1047,175,3.015,1967175,48.78,230.46,1.47
2023-09-03,Facebook Ads,18697,336546,17975,5.341,2662,498,2.771,3073656,37.54,164.39,1.04
2023-09-03,LinkedIn Ads,8070,129120,2792,2.162,526,150,5.372,1399350,53.8,173.4,2.89
2023-09-03,Email Campaign,1318,13180,272,2.064,48,9,3.309,49365,146.44,37.45,4.85
2023-09-03,Content Marketing,5390,70070,3209,4.58,404,116,3.615,1107800,46.47,205.53,1.68
2023-09-03,SEO,4346,56498,2003,3.545,481,85,4.244,919020,51.13,211.46,2.17
2023-09-10,Google Ads,13700,150700,5069,3.364,593,198,3.906,2296206,69.19,167.61,2.7
2023-09-10,Facebook Ads,17508,315144,17362,5.509,2407,678,3.905,3099138,25.82,177.01,1.01
2023-09-10,LinkedIn Ads,13799,275980,14541,5.269,2665,682,4.69,3339072,20.23,241.98,0.95
2023-09-10,Email Campaign,1753,28048,832,2.966,94,30,3.606,269910,58.43,153.97,2.11
2023-09-10,Content Marketing,7491,119856,6713,5.601,1308,284,4.231,2979728,26.38,397.77,1.12
2023-09-10,SEO,1440,27360,929,3.395,194,63,6.781,755622,22.86,524.74,1.55
2023-09-17,Google Ads,14954,299080,16593,5.548,3600,1002,6.039,9569100,14.92,639.9,0.9
2023-09-17,Facebook Ads,12153,206601,4827,2.336,599,197,4.081,1275378,61.69,104.94,2.52
2023-09-17,LinkedIn Ads,19005,342090,15139,4.425,1534,261,1.724,1234530,72.82,64.96,1.26
2023-09-17,Email Campaign,4811,72165,3358,4.653,338,61,1.817,219600,78.87,45.65,1.43
2023-09-17,Content Marketing,2835,28350,1189,4.194,242,67,5.635,703299,42.31,248.08,2.38
2023-09-17,SEO,3077,40001,1158,2.895,239,47,4.059,485980,65.47,157.94,2.66
2023-09-24,Google Ads,19127,286905,9472,3.301,2007,561,5.923,5782788,34.09,302.34,2.02
2023-09-24,Facebook Ads,17836,285376,15401,5.397,3059,806,5.233,5284942,22.13,296.31,1.16
2023-09-24,LinkedIn Ads,10982,142766,3390,2.375,525,106,3.127,977744,103.6,89.03,3.24
2023-09-24,Email Campaign,5060,50600,1505,2.974,370,84,5.581,713244,60.24,140.96,3.36
2023-09-24,Content Marketing,1887,32079,1786,5.568,347,107,5.991,764943,17.64,405.38,1.06
2023-09-24,SEO,6513,84669,3395,4.01,633,157,4.624,1811623,41.48,278.15,1.92
2023-10-01,Google Ads,15553,279954,7785,2.781,1622,334,4.29,3428176,46.57,220.42,2.0
2023-10-01,Facebook Ads,7245,94185,1975,2.097,388,71,3.595,304590,102.04,42.04,3.67
2023-10-01,LinkedIn Ads,18674,261436,15063,5.762,3661,1219,8.093,12082728,15.32,647.03,1.24
2023-10-01,Email Campaign,6655,126445,4401,3.481,450,151,3.431,721327,44.07,108.39,1.51
2023-10-01,Content Marketing,6625,66250,2459,3.712,602,206,8.377,2374768,32.16,358.46,2.69
2023-10-01,SEO,7443,133974,7250,5.411,1045,237,3.269,2097924,31.41,281.87,1.03
2023-10-08,Google Ads,13772,206580,11164,5.404,1647,302,2.705,3519810,45.6,255.58,1.23
2023-10-08,Facebook Ads,10895,152530,6447,4.227,1550,448,6.949,1431808,24.32,131.42,1.69
2023-10-08,LinkedIn Ads,10107,101070,4326,4.28,495,135,3.121,753300,74.87,74.53,2.34
2023-10-08,Email Campaign,7227,137313,8184,5.96,990,251,3.067,825790,28.79,114.26,0.88
2023-10-08,Content Marketing,5089,66157,3644,5.508,769,222,6.092,987678,22.92,194.08,1.4
2023-10-08,SEO,7433,118928,5720,4.81,880,183,3.199,1341939,40.62,180.54,1.3
2023-10-15,Google Ads,14578,233248,12216,5.237,2706,875,7.163,3116750,16.66,213.8,1.19
2023-10-15,Facebook Ads,13363,253897,14352,5.653,2536,634,4.418,6660170,21.08,498.4,0.93
2023-10-15,LinkedIn Ads,15663,219282,11387,5.193,2248,652,5.726,4459680,24.02,284.73,1.38
2023-10-15,Email Campaign,5738,80332,4163,5.182,972,211,5.068,1108383,27.19,193.17,1.38
2023-10-15,Content Marketing,7927,118905,4164,3.502,475,126,3.026,776664,62.91,97.98,1.9
2023-10-15,SEO,5337,64044,1372,2.142,233,60,4.373,390360,88.95,73.14,3.89
2023-10-22,Google Ads,12866,257320,8095,3.146,1526,238,2.94,1537956,54.06,119.54,1.59
2023-10-22,Facebook Ads,19746,394920,8488,2.149,1896,420,4.948,3709440,47.01,187.86,2.33
2023-10-22,LinkedIn Ads,6340,95100,2385,2.508,425,129,5.409,1466730,49.15,231.35,2.66
2023-10-22,Email Campaign,7366,103124,2952,2.863,571,95,3.218,485260,77.54,65.88,2.5
2023-10-22,Content Marketing,3854,53956,1190,2.206,213,54,4.538,341334,71.37,88.57,3.24
2023-10-22,SEO,2354,35310,1606,4.548,335,115,7.161,752905,20.47,319.84,1.47
2023-10-29,Google Ads,17894,322092,13093,4.065,1943,600,4.583,6130800,29.82,342.62,1.37
2023-10-29,Facebook Ads,5627,95659,2949,3.083,489,81,2.747,857061,69.47,152.31,1.91
2023-10-29,LinkedIn Ads,15105,256785,5396,2.101,1318,418,7.746,4903140,36.14,324.6,2.8
2023-10-29,Email Campaign,1819,21828,1044,4.783,168,31,2.969,254572,58.68,139.95,1.74
2023-10-29,Content Marketing,4573,86887,2281,2.625,313,81,3.551,374787,56.46,81.96,2.0
2023-10-29,SEO,2906,46496,2258,4.856,449,92,4.074,288052,31.59,99.12,1.29
2023-11-05,Google Ads,5932,118640,6904,5.819,1454,379,5.49,3014945,15.65,508.25,0.86
2023-11-05,Facebook Ads,10798,183566,8162,4.446,1329,265,3.247,1847050,40.75,171.05,1.32
2023-11-05,LinkedIn Ads,10118,161888,5542,3.423,1184,181,3.266,646894,55.9,63.93,1.83
2023-11-05,Email Campaign,5821,104778,2582,2.464,276,43,1.665,450554,135.37,77.4,2.25
2023-11-05,Content Marketing,5845,87675,4753,5.421,976,238,5.007,2038232,24.56,348.71,1.23
2023-11-05,SEO,2521,45378,1085,2.391,188,46,4.24,402546,54.8,159.68,2.32
2023-11-12,Google Ads,6116,110088,2964,2.692,489,112,3.779,1024800,54.61,167.56,2.06
2023-11-12,Facebook Ads,11184,156576,6988,4.463,1364,216,3.091,1087776,51.78,97.26,1.6
2023-11-12,LinkedIn Ads,18354,183540,6421,3.498,1244,311,4.843,3592672,59.02,195.74,2.86
2023-11-12,Email Campaign,6810,95340,5173,5.426,1028,187,3.615,993344,36.42,145.87,1.32
2023-11-12,Content Marketing,7759,116385,2656,2.282,521,80,3.012,760000,96.99,97.95,2.92
2023-11-12,SEO,5209,83344,3619,4.342,872,231,6.383,2049432,22.55,393.44,1.44
2023-11-19,Google Ads,13847,276940,9838,3.552,1933,467,4.747,4245030,29.65,306.57,1.41
2023-11-19,Facebook Ads,10842,108420,4534,4.182,1093,248,5.47,2288296,43.72,211.06,2.39
2023-11-19,LinkedIn Ads,9214,147424,8616,5.844,2031,384,4.457,2961024,23.99,321.36,1.07
2023-11-19,Email Campaign,7950,79500,1810,2.277,208,31,1.713,144212,256.45,18.14,4.39
2023-11-19,Content Marketing,1982,21802,518,2.376,104,17,3.282,58582,116.59,29.56,3.83
2023-11-19,SEO,5133,92394,3026,3.275,686,106,3.503,329872,48.42,64.26,1.7
2023-11-26,Google Ads,11076,166140,8735,5.258,1242,215,2.461,1445015,51.52,130.46,1.27
2023-11-26,Facebook Ads,13292,159504,7635,4.787,1483,482,6.313,1549148,27.58,116.55,1.74
2023-11-26,LinkedIn Ads,13230,185220,9150,4.94,2017,416,4.546,3133728,31.8,236.87,1.45
2023-11-26,Email Campaign,1021,20420,553,2.708,117,36,6.51,356148,28.36,348.82,1.85
2023-11-26,Content Marketing,1408,28160,1678,5.959,271,60,3.576,634740,23.47,450.81,0.84
2023-11-26,SEO,6610,72710,3712,5.105,560,188,5.065,1111080,35.16,168.09,1.78
2023-12-03,Google Ads,8260,148680,8078,5.433,1327,398,4.927,2166314,20.75,262.27,1.02
2023-12-03,Facebook Ads,18221,291536,14629,5.018,1689,558,3.814,4094046,32.65,224.69,1.25
2023-12-03,LinkedIn Ads,16445,230230,9257,4.021,2073,443,4.786,2577817,37.12,156.75,1.78
2023-12-03,Email Campaign,5420,75880,4235,5.581,670,101,2.385,1207253,53.66,222.74,1.28
2023-12-03,Content Marketing,1973,31568,1774,5.62,201,42,2.368,162414,46.98,82.32,1.11
2023-12-03,SEO,7407,125919,7303,5.8,1771,468,6.408,3900780,15.83,526.63,1.01
2023-12-10,Google Ads,12625,126250,5715,4.527,955,199,3.482,808139,63.44,64.01,2.21
2023-12-10,Facebook Ads,9286,185720,6155,3.314,1236,371,6.028,3856174,25.03,415.27,1.51
2023-12-10,LinkedIn Ads,19736,276304,14274,5.166,3118,524,3.671,4728052,37.66,239.56,1.38
2023-12-10,Email Campaign,3864,69552,2766,3.977,300,77,2.784,668360,50.18,172.97,1.4
2023-12-10,Content Marketing,5084,81344,3063,3.765,714,157,5.126,970260,32.38,190.85,1.66
2023-12-10,SEO,1458,23328,575,2.465,69,20,3.478,83360,72.9,57.17,2.54
2023-12-17,Google Ads,16951,305118,13647,4.473,1571,262,1.92,1861772,64.7,109.83,1.24
2023-12-17,Facebook Ads,12630,126300,6067,4.804,672,211,3.478,2494231,59.86,197.48,2.08
2023-12-17,LinkedIn Ads,6994,111904,5399,4.825,605,101,1.871,726897,69.25,103.93,1.3
2023-12-17,Email Campaign,7456,149120,8867,5.946,1384,310,3.496,1586580,24.05,212.79,0.84
2023-12-17,Content Marketing,5997,101949,5353,5.251,1295,449,8.388,2550769,13.36,425.34,1.12
2023-12-17,SEO,6527,117486,5890,5.013,921,153,2.598,1478592,42.66,226.53,1.11
2023-12-24,Google Ads,10919,131028,6693,5.108,1229,288,4.303,1450080,37.91,132.8,1.63
2023-12-24,Facebook Ads,6878,68780,3869,5.625,451,112,2.895,1012816,61.41,147.25,1.78
2023-12-24,LinkedIn Ads,16979,305622,6251,2.045,1064,171,2.736,1536777,99.29,90.51,2.72
2023-12-24,Email Campaign,2780,41700,1032,2.475,121,33,3.198,107547,84.24,38.69,2.69
2023-12-24,Content Marketing,2795,36335,1811,4.984,339,116,6.405,1238416,24.09,443.08,1.54
2023-12-24,SEO,4634,74144,2594,3.499,370,119,4.588,382823,38.94,82.61,1.79
2023-12-31,Google Ads,17839,321102,9293,2.894,2271,346,3.723,1786052,51.56,100.12,1.92
2023-12-31,Facebook Ads,6873,116841,6869,5.879,731,239,3.479,1252838,28.76,182.28,1.0
2023-12-31,LinkedIn Ads,11393,216467,8898,4.111,2215,364,4.091,1259076,31.3,110.51,1.28
2023-12-31,Email Campaign,7306,80366,3387,4.214,831,211,6.23,958995,34.63,131.26,2.16
2023-12-31,Content Marketing,7184,79024,3569,4.516,729,175,4.903,1072750,41.05,149.32,2.01
2023-12-31,SEO,2973,44595,2011,4.509,377,124,6.166,821252,23.98,276.24,1.48
